"Name","Path","Company"
"AmazonDrive","C:\Users\Computer\AppData\Local\Amazon Drive\AmazonDrive.exe","Amazon.com Inc."
"AppleMobileDeviceService",,
"ApplicationFrameHost","C:\WINDOWS\system32\ApplicationFrameHost.exe","Microsoft Corporation"
"APSDaemon","C:\Program Files (x86)\Common Files\Apple\Apple Application Support\APSDaemon.exe","Apple Inc."
"armsvc",,
"audiodg",,
"chrome","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google Inc."
"chrome","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google Inc."
"chrome","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google Inc."
"chrome","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google Inc."
"chrome","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google Inc."
"chrome","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google Inc."
"chrome","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google Inc."
"chrome","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google Inc."
"chrome","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google Inc."
"chrome","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google Inc."
"chrome","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google Inc."
"chrome","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google Inc."
"chrome","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google Inc."
"chrome","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google Inc."
"chrome","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google Inc."
"Code","C:\Program Files\Microsoft VS Code\Code.exe","Microsoft Corporation"
"Code","C:\Program Files\Microsoft VS Code\Code.exe","Microsoft Corporation"
"Code","C:\Program Files\Microsoft VS Code\Code.exe","Microsoft Corporation"
"Code","C:\Program Files\Microsoft VS Code\Code.exe","Microsoft Corporation"
"Code","C:\Program Files\Microsoft VS Code\Code.exe","Microsoft Corporation"
"Code","C:\Program Files\Microsoft VS Code\Code.exe","Microsoft Corporation"
"Code","C:\Program Files\Microsoft VS Code\Code.exe","Microsoft Corporation"
"conhost","C:\WINDOWS\system32\conhost.exe","Microsoft Corporation"
"csrss",,
"csrss",,
"dasHost",,
"dllhost","C:\WINDOWS\system32\DllHost.exe","Microsoft Corporation"
"Dropbox","C:\Users\Computer\AppData\Roaming\Dropbox\bin\Dropbox.exe","Dropbox, Inc."
"Dropbox","C:\Users\Computer\AppData\Roaming\Dropbox\bin\Dropbox.exe","Dropbox, Inc."
"Dropbox","C:\Users\Computer\AppData\Roaming\Dropbox\bin\Dropbox.exe","Dropbox, Inc."
"DropboxUpdate","C:\Users\Computer\AppData\Local\Dropbox\Update\DropboxUpdate.exe","Dropbox, Inc."
"dwm",,
"EPWD",,
"explorer","C:\WINDOWS\Explorer.EXE","Microsoft Corporation"
"fontdrvhost",,
"fontdrvhost",,
"HxCalendarAppImm","C:\Program Files\WindowsApps\microsoft.windowscommunicationsapps_17.8730.21725.0_x64__8wekyb3d8bbwe\HxCalendarAppImm.exe","Microsoft Corporation"
"HxOutlook","C:\Program Files\WindowsApps\microsoft.windowscommunicationsapps_17.8730.21725.0_x64__8wekyb3d8bbwe\HxOutlook.exe","Microsoft Corporation"
"HxTsr","C:\Program Files\WindowsApps\microsoft.windowscommunicationsapps_17.8730.21725.0_x64__8wekyb3d8bbwe\HxTsr.exe","Microsoft Corporation"
"iCloudServices","C:\Program Files (x86)\Common Files\Apple\Internet Services\iCloudServices.exe","Apple Inc."
"Idle",,
"igfxCUIService",,
"igfxEM","C:\WINDOWS\system32\igfxEM.exe","Intel Corporation"
"igfxHK","C:\WINDOWS\system32\igfxHK.exe","Intel Corporation"
"igfxTray","C:\WINDOWS\system32\igfxTray.exe",
"IntelCpHeciSvc",,
"jucheck","C:\Program Files (x86)\Common Files\Java\Java Update\jucheck.exe","Oracle Corporation"
"jusched","C:\Program Files (x86)\Common Files\Java\Java Update\jusched.exe","Oracle Corporation"
"lsass",,
"Memory Compression",,
"Microsoft.Photos","C:\Program Files\WindowsApps\Microsoft.Windows.Photos_2017.39101.16720.0_x64__8wekyb3d8bbwe\Microsoft.Photos.exe","Microsoft Corporation"
"MSASCuiL","C:\Program Files\Windows Defender\MSASCuiL.exe","Microsoft Corporation"
"MsMpEng",,
"NisSrv",,
"NvBackend","C:\Program Files (x86)\NVIDIA Corporation\Update Core\NvBackend.exe","NVIDIA Corporation"
"NVDisplay.Container",,
"NVDisplay.Container",,
"OneDrive","C:\Users\Computer\AppData\Local\Microsoft\OneDrive\OneDrive.exe","Microsoft Corporation"
"onenoteim","C:\Program Files\WindowsApps\Microsoft.Office.OneNote_17.8827.20991.0_x64__8wekyb3d8bbwe\onenoteim.exe","Microsoft Corporation"
"ONENOTEM","C:\Program Files\Microsoft Office\Office15\ONENOTEM.EXE","Microsoft Corporation"
"powershell","C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe","Microsoft Corporation"
"PresentationFontCache",,
"RAVCpl64","C:\Program Files\Realtek\Audio\HDA\RAVCpl64.exe","Realtek Semiconductor"
"RemindersServer","C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy\RemindersServer.exe","Microsoft Corporation"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","Microsoft Corporation"
"SearchIndexer",,
"SearchUI","C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy\SearchUI.exe","Microsoft Corporation"
"SecurityHealthService",,
"services",,
"SettingSyncHost","C:\WINDOWS\system32\SettingSyncHost.exe","Microsoft Corporation"
"ShellExperienceHost","C:\WINDOWS\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe","Microsoft Corporation"
"sihost","c:\windows\system32\sihost.exe","Microsoft Corporation"
"SkypeApp","C:\Program Files\WindowsApps\Microsoft.SkypeApp_12.13.257.0_x64__kzf8qxf38zg5c\SkypeApp.exe","Microsoft"
"SkypeHost","C:\Program Files\WindowsApps\Microsoft.SkypeApp_12.13.257.0_x64__kzf8qxf38zg5c\SkypeHost.exe","Microsoft Corporation"
"smss",,
"spoolsv",,
"Spotify","C:\Users\Computer\AppData\Roaming\Spotify\Spotify.exe","Spotify Ltd"
"Spotify","C:\Users\Computer\AppData\Roaming\Spotify\Spotify.exe","Spotify Ltd"
"Spotify","C:\Users\Computer\AppData\Roaming\Spotify\Spotify.exe","Spotify Ltd"
"Spotify","C:\Users\Computer\AppData\Roaming\Spotify\Spotify.exe","Spotify Ltd"
"SpotifyWebHelper","C:\Users\Computer\AppData\Roaming\Spotify\SpotifyWebHelper.exe","Spotify Ltd"
"sqlservr",,
"sqlwriter",,
"svchost",,
"svchost","c:\windows\system32\svchost.exe","Microsoft Corporation"
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost","c:\windows\system32\svchost.exe","Microsoft Corporation"
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"svchost","c:\windows\system32\svchost.exe","Microsoft Corporation"
"svchost",,
"svchost",,
"svchost",,
"svchost",,
"System",,
"taskhostw",,
"taskhostw","c:\windows\system32\taskhostw.exe","Microsoft Corporation"
"TracSrvWrapper",,
"TrGUI","C:\Program Files (x86)\CheckPoint\Endpoint Connect\TrGUI.exe","Check Point Software Technologies"
"vmnat",,
"vmnetdhcp",,
"vmware-authd",,
"vmware-usbarbitrator64",,
"WAService",,
"wininit",,
"winlogon",,
"winpty-agent","c:\Program Files\Microsoft VS Code\resources\app\node_modules\node-pty\build\Release\winpty-agent.exe",
"WmiPrvSE",,
"WUDFHost",,
